date,ratio,day
2022-05-05,17.52247191011236,1
2022-05-06,15.154069767441861,2
2022-05-07,13.670411985018726,3
2022-05-08,15.215384615384615,4
2022-05-09,13.357758620689655,5
2022-05-10,10.856115107913668,6
2022-05-11,11.899543378995434,7
2022-05-12,10.672985781990521,8
2022-05-13,10.122340425531915,9
2022-05-14,18.633093525179856,10
2022-05-15,20.867924528301888,11
2022-05-16,10.415094339622641,12
2022-05-17,10.746153846153845,13
2022-05-18,8.112582781456954,14
2022-05-19,9.240601503759398,15
2022-05-20,8.086092715231787,16
2022-05-21,9.065217391304348,17
2022-05-22,8.271844660194175,18
2022-05-23,9.20388349514563,19
2022-05-24,6.461538461538462,20
2022-05-25,3.0404858299595143,21
2022-05-26,4.077844311377246,22
2022-05-27,4.681818181818182,23
2022-05-28,4.072164948453608,24
2022-05-29,4.417721518987341,25
2022-05-30,4.148148148148148,26
2022-05-31,4.011363636363637,27
2022-06-01,5.485714285714286,28
2022-06-02,4.958904109589041,29
2022-06-03,5.015873015873016,30
2022-06-04,5.2727272727272725,31
2022-06-05,4.357142857142857,32
2022-06-06,4.369230769230769,33
2022-06-07,5.0606060606060606,34
2022-06-08,4.508196721311475,35
2022-06-09,5.203703703703703,36
2022-06-10,4.509433962264151,37
2022-06-11,4.1020408163265305,38
2022-06-12,3.9591836734693877,39
2022-06-13,3.2333333333333334,40
2022-06-14,3.5555555555555554,41
2022-06-15,4.590909090909091,42
2022-06-16,4.346153846153846,43
2022-06-17,4.611111111111111,44
2022-06-18,5.5476190476190474,45
2022-06-19,3.8095238095238093,46
2022-06-20,3.338709677419355,47
2022-06-21,3.6610169491525424,48
2022-06-22,3.76271186440678,49
2022-06-23,3.5945945945945947,50
2022-06-24,13.713359273670557,51
2022-06-25,22.184466019417474,52
2022-06-26,21.85986394557823,53
2022-06-27,20.735744089012517,54
2022-06-28,20.11128526645768,55
2022-06-29,18.043636363636363,56
2022-06-30,16.542,57
2022-07-01,15.921119592875318,58
2022-07-02,15.561349693251534,59
2022-07-03,21.248945147679326,60
2022-07-04,22.191693290734825,61
2022-07-05,21.476,62
2022-07-06,13.508771929824562,63
2022-07-07,13.265873015873016,64
2022-07-08,16.098360655737704,65
2022-07-09,13.631868131868131,66
2022-07-10,13.059171597633137,67
2022-07-11,10.973118279569892,68
2022-07-12,10.46242774566474,69
2022-07-13,11.73103448275862,70
2022-07-14,12.18918918918919,71
2022-07-15,11.126865671641792,72
2022-07-16,11.04,73
2022-07-17,8.982456140350877,74
2022-07-18,8.959349593495935,75
2022-07-19,11.718446601941748,76
2022-07-20,11.10576923076923,77
2022-07-21,11.65,78
2022-07-22,8.43859649122807,79
2022-07-23,9.753086419753087,80
2022-07-24,9.819277108433734,81
2022-07-25,12.106666666666667,82
2022-07-26,9.852941176470589,83
2022-07-27,9.663366336633663,84
2022-07-28,9.821052631578947,85
2022-07-29,12.25,86
2022-07-30,13.693548387096774,87
2022-07-31,11.55,88
2022-08-01,13.615384615384615,89
2022-08-02,10.539473684210526,90
2022-08-03,13.240506329113924,91
2022-08-04,9.487804878048781,92
2022-08-05,9.318840579710145,93
2022-08-06,10.416666666666666,94
2022-08-07,7.865671641791045,95
2022-08-08,7.972972972972973,96
2022-08-09,8.479452054794521,97
2022-08-10,10.755102040816327,98
2022-08-11,8.295081967213115,99
2022-08-12,8.131147540983607,100
2022-08-13,7.1454545454545455,101
2022-08-14,7.5396825396825395,102
2022-08-15,6.590163934426229,103
2022-08-16,9.072727272727272,104
2022-08-17,7.935483870967742,105
2022-08-18,8.363636363636363,106
2022-08-19,9.404255319148936,107
2022-08-20,8.625,108
2022-08-21,6.931818181818182,109
2022-08-22,8.0,110
2022-08-23,7.857142857142857,111
2022-08-24,6.980769230769231,112
2022-08-25,7.604166666666667,113
