date,Pro-Israel,Pro-Palestine,day
2023-09-30,27,4,1
2023-10-01,166,39,2
2023-10-02,163,58,3
2023-10-03,173,88,4
2023-10-04,140,134,5
2023-10-05,143,67,6
2023-10-06,154,62,7
2023-10-07,659,1443,8
2023-10-08,928,2646,9
2023-10-09,1330,3752,10
2023-10-10,1462,4181,11
2023-10-11,1386,4696,12
2023-10-12,1342,4765,13
2023-10-13,1217,5606,14
2023-10-14,825,6384,15
2023-10-15,676,5236,16
2023-10-17,187,1735,17
2023-10-18,765,8476,18
2023-10-19,750,8241,19
2023-10-20,700,6926,20
2023-10-21,505,6285,21
2023-10-22,652,5735,22
2023-10-23,626,5625,23
2023-10-24,643,5380,24
2023-10-25,594,5016,25
2023-10-26,679,5047,26
2023-10-27,555,6471,27
2023-10-28,448,7548,28
2023-10-29,577,6925,29
2023-10-30,603,6295,30
2023-10-31,593,5938,31
2023-11-01,617,5934,32
2023-11-02,575,6007,33
2023-11-03,523,5927,34
2023-11-04,497,6425,35
2023-11-05,533,7430,36
2023-11-06,558,6860,37
2023-11-07,633,9593,38
2023-11-08,541,9574,39
2023-11-09,576,10432,40
2023-11-10,465,10554,41
2023-11-11,395,8873,42
2023-11-12,517,9043,43
2023-11-13,554,9126,44
2023-11-14,719,8810,45
2023-11-15,600,9162,46
2023-11-16,535,7930,47
2023-11-17,444,6862,48
2023-11-18,359,6912,49
2023-11-19,471,7657,50
2023-11-20,448,6893,51
2023-11-21,506,7168,52
2023-11-22,308,5451,53
2023-11-28,156,1638,54
